datetime,season,rentMonth,rentHour,holiday,rentCount
2013-01-01 0:00,4,1,0,0,0
2013-01-01 1:00,4,1,1,0,0
2013-01-01 2:00,4,1,2,0,0
2013-01-01 3:00,4,1,3,0,0
2013-01-01 4:00,4,1,4,0,0
2013-01-01 5:00,4,1,5,0,0
2013-01-01 6:00,4,1,6,0,0
2013-01-01 7:00,4,1,7,0,0
2013-01-01 8:00,4,1,8,0,0
2013-01-01 9:00,4,1,9,0,0
2013-01-01 10:00,4,1,10,0,0
2013-01-01 11:00,4,1,11,0,0
2013-01-01 12:00,4,1,12,0,0
2013-01-01 13:00,4,1,13,0,0
2013-01-01 14:00,4,1,14,0,0
2013-01-01 15:00,4,1,15,0,0
2013-01-01 16:00,4,1,16,0,0
2013-01-01 17:00,4,1,17,0,0
2013-01-01 18:00,4,1,18,0,0
2013-01-01 19:00,4,1,19,0,0
2013-01-01 20:00,4,1,20,0,0
2013-01-01 21:00,4,1,21,0,0
2013-01-01 22:00,4,1,22,0,0
2013-01-01 23:00,4,1,23,0,0
2013-01-02 0:00,4,1,0,0,0
2013-01-02 1:00,4,1,1,0,0
2013-01-02 2:00,4,1,2,0,0
2013-01-02 3:00,4,1,3,0,0
2013-01-02 4:00,4,1,4,0,0
2013-01-02 5:00,4,1,5,0,0
2013-01-02 6:00,4,1,6,0,0
2013-01-02 7:00,4,1,7,0,0
2013-01-02 8:00,4,1,8,0,0
2013-01-02 9:00,4,1,9,0,0
2013-01-02 10:00,4,1,10,0,1
2013-01-02 11:00,4,1,11,0,0
2013-01-02 12:00,4,1,12,0,0
2013-01-02 13:00,4,1,13,0,1
2013-01-02 14:00,4,1,14,0,1
2013-01-02 15:00,4,1,15,0,0
2013-01-02 16:00,4,1,16,0,0
2013-01-02 17:00,4,1,17,0,1
2013-01-02 18:00,4,1,18,0,0
2013-01-02 19:00,4,1,19,0,0
2013-01-02 20:00,4,1,20,0,0
2013-01-02 21:00,4,1,21,0,2
2013-01-02 22:00,4,1,22,0,0
2013-01-02 23:00,4,1,23,0,0
2013-01-03 0:00,4,1,0,0,0
2013-01-03 1:00,4,1,1,0,0
2013-01-03 2:00,4,1,2,0,0
2013-01-03 3:00,4,1,3,0,0
2013-01-03 4:00,4,1,4,0,0
2013-01-03 5:00,4,1,5,0,0
2013-01-03 6:00,4,1,6,0,0
2013-01-03 7:00,4,1,7,0,4
2013-01-03 8:00,4,1,8,0,0
2013-01-03 9:00,4,1,9,0,0
2013-01-03 10:00,4,1,10,0,0
2013-01-03 11:00,4,1,11,0,0
2013-01-03 12:00,4,1,12,0,0
2013-01-03 13:00,4,1,13,0,0
2013-01-03 14:00,4,1,14,0,0
2013-01-03 15:00,4,1,15,0,0
2013-01-03 16:00,4,1,16,0,0
2013-01-03 17:00,4,1,17,0,0
2013-01-03 18:00,4,1,18,0,0
2013-01-03 19:00,4,1,19,0,0
2013-01-03 20:00,4,1,20,0,0
2013-01-03 21:00,4,1,21,0,0
2013-01-03 22:00,4,1,22,0,0
2013-01-03 23:00,4,1,23,0,0
2013-01-04 0:00,4,1,0,1,0
2013-01-04 1:00,4,1,1,1,0
2013-01-04 2:00,4,1,2,1,0
2013-01-04 3:00,4,1,3,1,0
2013-01-04 4:00,4,1,4,1,0
2013-01-04 5:00,4,1,5,1,0
2013-01-04 6:00,4,1,6,1,0
2013-01-04 7:00,4,1,7,1,0
2013-01-04 8:00,4,1,8,1,1
2013-01-04 9:00,4,1,9,1,0
2013-01-04 10:00,4,1,10,1,0
2013-01-04 11:00,4,1,11,1,0
