datetime,rentMonth,rentHour,rentWeekday,rentCount
2014-01-01 0:00,1,0,4,0.214538168
2014-01-01 1:00,1,1,4,0.229653692
2014-01-01 2:00,1,2,4,0.187727392
2014-01-01 3:00,1,3,4,0.187727392
2014-01-01 4:00,1,4,4,0.187727392
2014-01-01 5:00,1,5,4,0.190972975
2014-01-01 6:00,1,6,4,0.192747867
2014-01-01 7:00,1,7,4,0.354862444
2014-01-01 8:00,1,8,4,0.353474536
2014-01-01 9:00,1,9,4,0.294807958
2014-01-01 10:00,1,10,4,0.379589135
2014-01-01 11:00,1,11,4,0.538355703
2014-01-01 12:00,1,12,4,0.520490364
2014-01-01 13:00,1,13,4,1.104627029
2014-01-01 14:00,1,14,4,2.35790926
2014-01-01 15:00,1,15,4,2.382375539
2014-01-01 16:00,1,16,4,2.369506052
2014-01-01 17:00,1,17,4,2.224534162
2014-01-01 18:00,1,18,4,1.503560822
2014-01-01 19:00,1,19,4,1.303658884
2014-01-01 20:00,1,20,4,1.28221654
2014-01-01 21:00,1,21,4,1.383284609
2014-01-01 22:00,1,22,4,1.104611799
2014-01-01 23:00,1,23,4,1.189389638
2014-01-02 0:00,1,0,5,0.322957158
2014-01-02 1:00,1,1,5,0.239477979
2014-01-02 2:00,1,2,5,0.222925598
2014-01-02 3:00,1,3,5,0.222925598
2014-01-02 4:00,1,4,5,0.222925598
2014-01-02 5:00,1,5,5,0.223607734
2014-01-02 6:00,1,6,5,0.238368982
2014-01-02 7:00,1,7,5,0.362450779
2014-01-02 8:00,1,8,5,0.35052623
2014-01-02 9:00,1,9,5,0.386214725
2014-01-02 10:00,1,10,5,0.341836769
2014-01-02 11:00,1,11,5,0.359979454
2014-01-02 12:00,1,12,5,0.892792076
2014-01-02 13:00,1,13,5,1.252744375
2014-01-02 14:00,1,14,5,2.987881499
2014-01-02 15:00,1,15,5,3.24973485
2014-01-02 16:00,1,16,5,4.35933945
2014-01-02 17:00,1,17,5,3.002083768
2014-01-02 18:00,1,18,5,2.382054302
2014-01-02 19:00,1,19,5,1.853227073
2014-01-02 20:00,1,20,5,1.759534059
2014-01-02 21:00,1,21,5,2.022905335
2014-01-02 22:00,1,22,5,1.411888449
2014-01-02 23:00,1,23,5,1.162163037
2014-01-03 0:00,1,0,6,0.276601766
2014-01-03 1:00,1,1,6,0.186245241
2014-01-03 2:00,1,2,6,0.170091395
2014-01-03 3:00,1,3,6,0.170091395
2014-01-03 4:00,1,4,6,0.170091395
