"datetime","season","rentMonth","rentHour","rentWeekday","temperature","humidity","rainfall","rentCount"
"2014-01-01 00:00:00",4,1,0,"Wed",5.4,68,0,0.151666666666665
"2014-01-01 01:00:00",4,1,1,"Wed",4.8,65,0,0.0719999999999978
"2014-01-01 02:00:00",4,1,2,"Wed",4.2,66,0,0.0319999999999973
"2014-01-01 03:00:00",4,1,3,"Wed",4,64,0,0.0684705882352913
"2014-01-01 04:00:00",4,1,4,"Wed",3,67,0,0.0439999999999969
"2014-01-01 05:00:00",4,1,5,"Wed",2.5,73,0,0.106358974358972
"2014-01-01 06:00:00",4,1,6,"Wed",1.3,75,0,0.131473274787227
"2014-01-01 07:00:00",4,1,7,"Wed",1,76,0,0.868556337912477
"2014-01-01 08:00:00",4,1,8,"Wed",0.8,80,0,0.551774115543928
"2014-01-01 09:00:00",4,1,9,"Wed",2.5,71,0,0.81619684165472
"2014-01-01 10:00:00",4,1,10,"Wed",5,61,0,0.682527332629543
"2014-01-01 11:00:00",4,1,11,"Wed",6.5,58,0,0.721441669355756
"2014-01-01 12:00:00",4,1,12,"Wed",7.5,53,0,1.12405341360093
"2014-01-01 13:00:00",4,1,13,"Wed",8,54,0,1.26305313009443
"2014-01-01 14:00:00",4,1,14,"Wed",9.2,38,0,1.7494542443236
"2014-01-01 15:00:00",4,1,15,"Wed",9.4,28,0,1.81454378816837
"2014-01-01 16:00:00",4,1,16,"Wed",8.8,36,0,1.13135785609944
"2014-01-01 17:00:00",4,1,17,"Wed",7.7,45,0,0.948350227516983
"2014-01-01 18:00:00",4,1,18,"Wed",6.6,47,0,1.19326073747335
"2014-01-01 19:00:00",4,1,19,"Wed",5.9,61,0,0.785725588823538
"2014-01-01 20:00:00",4,1,20,"Wed",5.6,69,0,0.651255000588244
"2014-01-01 21:00:00",4,1,21,"Wed",5.2,72,0,0.591100964198914
"2014-01-01 22:00:00",4,1,22,"Wed",5.1,75,0,0.826674493610679
"2014-01-01 23:00:00",4,1,23,"Wed",4.5,78,0,1.13670805882943
"2014-01-02 00:00:00",4,1,0,"Thurs",3.9,79,0,0.0154728877679666
"2014-01-02 01:00:00",4,1,1,"Thurs",3.8,73,0,0.0652051282051251
"2014-01-02 02:00:00",4,1,2,"Thurs",3,72,0,0.0545384615384583
"2014-01-02 03:00:00",4,1,3,"Thurs",1.9,69,0,0.0769999999999969
"2014-01-02 04:00:00",4,1,4,"Thurs",1.3,66,0,0.00799999999999673
"2014-01-02 05:00:00",4,1,5,"Thurs",0.2,74,0,0.0443589743589718
"2014-01-02 06:00:00",4,1,6,"Thurs",-0.9,79,0,0.0697416730556242
"2014-01-02 07:00:00",4,1,7,"Thurs",-1.6,87,0,0.625757779523445
"2014-01-02 08:00:00",4,1,8,"Thurs",-2.2,88,0,0.364214782205601
