"datetime","season","returnMonth","returnHour","returnWeekday","temperature","humidity","rainfall","returnCount"
2013-01-01 00:00:00,"4","1","0","Tues",-8.8,90,0,0
2013-01-01 01:00:00,"4","1","1","Tues",-8.5,90,0,0
2013-01-01 02:00:00,"4","1","2","Tues",-8.5,89,0,0
2013-01-01 03:00:00,"4","1","3","Tues",-9,91,0,0
2013-01-01 04:00:00,"4","1","4","Tues",-9.1,92,0,0
2013-01-01 05:00:00,"4","1","5","Tues",-9.4,92,0,0
2013-01-01 06:00:00,"4","1","6","Tues",-9,93,0,0
2013-01-01 07:00:00,"4","1","7","Tues",-8.3,94,0,0
2013-01-01 08:00:00,"4","1","8","Tues",-7.3,96,0,0
2013-01-01 09:00:00,"4","1","9","Tues",-6.4,96,2.2,0
2013-01-01 10:00:00,"4","1","10","Tues",-5.3,98,0,0
2013-01-01 11:00:00,"4","1","11","Tues",-3.4,93,0,0
2013-01-01 12:00:00,"4","1","12","Tues",-0.5,88,1.9,0
2013-01-01 13:00:00,"4","1","13","Tues",3.1,73,0,0
2013-01-01 14:00:00,"4","1","14","Tues",2.5,69,0,0
2013-01-01 15:00:00,"4","1","15","Tues",0.8,90,0.2,0
2013-01-01 16:00:00,"4","1","16","Tues",1.1,84,0,0
2013-01-01 17:00:00,"4","1","17","Tues",0.5,83,0,1
2013-01-01 18:00:00,"4","1","18","Tues",-1.4,90,0.5,0
2013-01-01 19:00:00,"4","1","19","Tues",-1.7,94,0,0
2013-01-01 20:00:00,"4","1","20","Tues",-2,95,0,0
2013-01-01 21:00:00,"4","1","21","Tues",-2.4,98,0,0
2013-01-01 22:00:00,"4","1","22","Tues",-3.3,97,0,0
2013-01-01 23:00:00,"4","1","23","Tues",-3.2,98,0,0
2013-01-02 00:00:00,"4","1","0","Wed",-1.3,100,0.8,0
2013-01-02 01:00:00,"4","1","1","Wed",-0.8,100,0,0
2013-01-02 02:00:00,"4","1","2","Wed",-1.3,89,0,0
2013-01-02 03:00:00,"4","1","3","Wed",-3.5,80,1.8,0
2013-01-02 04:00:00,"4","1","4","Wed",-5.3,79,0,0
2013-01-02 05:00:00,"4","1","5","Wed",-6.5,83,0,0
2013-01-02 06:00:00,"4","1","6","Wed",-7.4,78,0,0
2013-01-02 07:00:00,"4","1","7","Wed",-8.7,71,0,0
2013-01-02 08:00:00,"4","1","8","Wed",-9.6,73,0,0
2013-01-02 09:00:00,"4","1","9","Wed",-8.7,57,0,0
2013-01-02 10:00:00,"4","1","10","Wed",-8,54,0,0
2013-01-02 11:00:00,"4","1","11","Wed",-6.9,52,0,0
2013-01-02 12:00:00,"4","1","12","Wed",-6.1,52,0,0
2013-01-02 13:00:00,"4","1","13","Wed",-5.6,51,0,0
2013-01-02 14:00:00,"4","1","14","Wed",-5.9,53,0,1
2013-01-02 15:00:00,"4","1","15","Wed",-6.1,55,0,0
2013-01-02 16:00:00,"4","1","16","Wed",-6.9,55,0,0
2013-01-02 17:00:00,"4","1","17","Wed",-7.9,56,0,0
2013-01-02 18:00:00,"4","1","18","Wed",-9.3,59,0,0
2013-01-02 19:00:00,"4","1","19","Wed",-10.2,61,0,0
