"datetime","season","returnMonth","returnHour","returnWeekday","temperature","humidity","rainfall","returnCount"
"2014-01-01 00:00:00",4,1,0,"Wed",5.4,68,0,0.405230046499797
"2014-01-01 01:00:00",4,1,1,"Wed",4.8,65,0,0.232103901542165
"2014-01-01 02:00:00",4,1,2,"Wed",4.2,66,0,0.205437234875498
"2014-01-01 03:00:00",4,1,3,"Wed",4,64,0,0.282103901542165
"2014-01-01 04:00:00",4,1,4,"Wed",3,67,0,0.2102348057257
"2014-01-01 05:00:00",4,1,5,"Wed",2.5,73,0,0.208942019564492
"2014-01-01 06:00:00",4,1,6,"Wed",1.3,75,0,0.320879407757696
"2014-01-01 07:00:00",4,1,7,"Wed",1,76,0,0.643964639428742
"2014-01-01 08:00:00",4,1,8,"Wed",0.8,80,0,0.784189983493413
"2014-01-01 09:00:00",4,1,9,"Wed",2.5,71,0,0.663772495690148
"2014-01-01 10:00:00",4,1,10,"Wed",5,61,0,0.633640251277153
"2014-01-01 11:00:00",4,1,11,"Wed",6.5,58,0,0.922589608430449
"2014-01-01 12:00:00",4,1,12,"Wed",7.5,53,0,0.512923478009583
"2014-01-01 13:00:00",4,1,13,"Wed",8,54,0,0.947845765904007
"2014-01-01 14:00:00",4,1,14,"Wed",9.2,38,0,0.847234175448427
"2014-01-01 15:00:00",4,1,15,"Wed",9.4,28,0,0.939930812145064
"2014-01-01 16:00:00",4,1,16,"Wed",8.8,36,0,0.810578121824632
"2014-01-01 17:00:00",4,1,17,"Wed",7.7,45,0,0.80527700288615
"2014-01-01 18:00:00",4,1,18,"Wed",6.6,47,0,1.16212876183077
"2014-01-01 19:00:00",4,1,19,"Wed",5.9,61,0,0.878416750162848
"2014-01-01 20:00:00",4,1,20,"Wed",5.6,69,0,0.533129499125135
"2014-01-01 21:00:00",4,1,21,"Wed",5.2,72,0,0.477521696075472
"2014-01-01 22:00:00",4,1,22,"Wed",5.1,75,0,0.704780402543133
"2014-01-01 23:00:00",4,1,23,"Wed",4.5,78,0,0.725468585182535
"2014-01-02 00:00:00",4,1,0,"Thurs",3.9,79,0,0.566777925862397
"2014-01-02 01:00:00",4,1,1,"Thurs",3.8,73,0,0.19392579636299
"2014-01-02 02:00:00",4,1,2,"Thurs",3,72,0,0.166618104055298
"2014-01-02 03:00:00",4,1,3,"Thurs",1.9,69,0,0.20392579636299
"2014-01-02 04:00:00",4,1,4,"Thurs",1.3,66,0,0.262626139879123
"2014-01-02 05:00:00",4,1,5,"Thurs",0.2,74,0,0.216995971801586
"2014-01-02 06:00:00",4,1,6,"Thurs",-0.9,79,0,0.104684728476494
"2014-01-02 07:00:00",4,1,7,"Thurs",-1.6,87,0,0.675632183631888
"2014-01-02 08:00:00",4,1,8,"Thurs",-2.2,88,0,0.704275035229452
"2014-01-02 09:00:00",4,1,9,"Thurs",-0.8,85,0,0.316464971241818
"2014-01-02 10:00:00",4,1,10,"Thurs",2.1,75,0,0.558811249675201
"2014-01-02 11:00:00",4,1,11,"Thurs",4.8,48,0,0.721065910113901
"2014-01-02 12:00:00",4,1,12,"Thurs",6.1,38,0,1.00211632948079
"2014-01-02 13:00:00",4,1,13,"Thurs",7.7,34,0,0.841269287633744
"2014-01-02 14:00:00",4,1,14,"Thurs",8.4,27,0,1.15191303609426
"2014-01-02 15:00:00",4,1,15,"Thurs",8.6,26,0,1.24832624653973
"2014-01-02 16:00:00",4,1,16,"Thurs",8.7,28,0,0.970593661840172
"2014-01-02 17:00:00",4,1,17,"Thurs",6.9,31,0,1.07037890418021
"2014-01-02 18:00:00",4,1,18,"Thurs",5.1,36,0,1.51150009431124
"2014-01-02 19:00:00",4,1,19,"Thurs",3.7,41,0,1.06565153087849
"2014-01-02 20:00:00",4,1,20,"Thurs",2.8,43,0,0.847042344244096
"2014-01-02 21:00:00",4,1,21,"Thurs",1.8,53,0,0.832376484190065
"2014-01-02 22:00:00",4,1,22,"Thurs",0.6,57,0,0.650469652971306
"2014-01-02 23:00:00",4,1,23,"Thurs",0,61,0,0.65279612344071
"2014-01-03 00:00:00",4,1,0,"Fri",-0.9,66,0,0.428333383576885
"2014-01-03 01:00:00",4,1,1,"Fri",-1.6,68,0,0.188134136282991
"2014-01-03 02:00:00",4,1,2,"Fri",-1.8,72,0,0.123134136282991
"2014-01-03 03:00:00",4,1,3,"Fri",-2.3,73,0,0.0153775350775726
"2014-01-03 04:00:00",4,1,4,"Fri",-2.9,75,0,0.0153775350775725
"2014-01-03 05:00:00",4,1,5,"Fri",-3,78,0,0.0153775350775725
"2014-01-03 06:00:00",4,1,6,"Fri",-3.1,77,0,0.0203149232707757
"2014-01-03 07:00:00",4,1,7,"Fri",-3.1,81,0,0.487795809750421
"2014-01-03 08:00:00",4,1,8,"Fri",-3.1,82,0,0.602257206834112
"2014-01-03 09:00:00",4,1,9,"Fri",-1.8,78,0,0.417207609716811
"2014-01-03 10:00:00",4,1,10,"Fri",0.6,65,0,0.580769152518797
"2014-01-03 11:00:00",4,1,11,"Fri",3.3,58,0,0.81367950103241
"2014-01-03 12:00:00",4,1,12,"Fri",4.8,49,0,0.567226751610093
"2014-01-03 13:00:00",4,1,13,"Fri",7.2,43,0,0.733192176848755
"2014-01-03 14:00:00",4,1,14,"Fri",8.7,37,0,1.28099104561582
"2014-01-03 15:00:00",4,1,15,"Fri",9.3,35,0,1.07620966033443
"2014-01-03 16:00:00",4,1,16,"Fri",9.3,32,0,1.10740935311477
"2014-01-03 17:00:00",4,1,17,"Fri",8.1,31,0,1.3965417931901
"2014-01-03 18:00:00",4,1,18,"Fri",6.4,39,0,1.31471852596193
"2014-01-03 19:00:00",4,1,19,"Fri",5.1,43,0,1.05551029632385
"2014-01-03 20:00:00",4,1,20,"Fri",3.9,48,0,1.12201453250699
"2014-01-03 21:00:00",4,1,21,"Fri",2.5,57,0,0.936364815765432
"2014-01-03 22:00:00",4,1,22,"Fri",1.4,63,0,0.681830401242311
"2014-01-03 23:00:00",4,1,23,"Fri",1.1,64,0,0.569945527661785
"2014-01-04 00:00:00",4,1,0,"Sat",1.3,68,0,0.399907708360601
"2014-01-04 01:00:00",4,1,1,"Sat",1.3,69,0,0.201333967139582
"2014-01-04 02:00:00",4,1,2,"Sat",1.9,79,0,0.115564736370351
"2014-01-04 03:00:00",4,1,3,"Sat",1.3,71,0,0.199667300472915
"2014-01-04 04:00:00",4,1,4,"Sat",-0.2,76,0,0.0972314030370171
"2014-01-04 05:00:00",4,1,5,"Sat",-0.7,74,0,0.0948545663905177
"2014-01-04 06:00:00",4,1,6,"Sat",-1.4,80,0,0.085945800737567
"2014-01-04 07:00:00",4,1,7,"Sat",-2,81,0,0.518580185910293
"2014-01-04 08:00:00",4,1,8,"Sat",-2.5,82,0,0.607889202041603
"2014-01-04 09:00:00",4,1,9,"Sat",-1.2,76,0,0.394747843474855
"2014-01-04 10:00:00",4,1,10,"Sat",1.2,63,0,0.686983849363771
"2014-01-04 11:00:00",4,1,11,"Sat",2.4,46,0,0.757291575151901
"2014-01-04 12:00:00",4,1,12,"Sat",4.3,37,0,1.04183249960147
"2014-01-04 13:00:00",4,1,13,"Sat",4.4,38,0,1.06741547218445
"2014-01-04 14:00:00",4,1,14,"Sat",5.7,37,0,1.53580997464135
"2014-01-04 15:00:00",4,1,15,"Sat",5.9,35,0,1.27580997464135
"2014-01-04 16:00:00",4,1,16,"Sat",5.9,36,0,1.23202209585347
"2014-01-04 17:00:00",4,1,17,"Sat",4.3,38,0,1.37797197440248
"2014-01-04 18:00:00",4,1,18,"Sat",2.7,43,0,0.933680215506647
"2014-01-04 19:00:00",4,1,19,"Sat",0.9,56,0,0.535658594619658
"2014-01-04 20:00:00",4,1,20,"Sat",0.3,64,0,0.593848996529291
"2014-01-04 21:00:00",4,1,21,"Sat",-0.6,70,0,0.311077700627574
"2014-01-04 22:00:00",4,1,22,"Sat",-1.2,73,0,0.498992924547127
"2014-01-04 23:00:00",4,1,23,"Sat",-1.9,77,0,0.400545417952015
