"datetime","season","rentMonth","rentHour","rentWeekday","temperature","humidity","rainfall","rentCount"
2015-01-01 00:00:00,"4","1","0","Thurs",-4.1,82,0.3,0
2015-01-01 01:00:00,"4","1","1","Thurs",-5.7,74,0,0
2015-01-01 02:00:00,"4","1","2","Thurs",-6.4,60,0,0
2015-01-01 03:00:00,"4","1","3","Thurs",-6.5,53,0,0
2015-01-01 04:00:00,"4","1","4","Thurs",-6.6,61,0,0
2015-01-01 05:00:00,"4","1","5","Thurs",-7,73,0,0
2015-01-01 06:00:00,"4","1","6","Thurs",-7.2,79,0,0
2015-01-01 07:00:00,"4","1","7","Thurs",-7.6,74,0,0
2015-01-01 08:00:00,"4","1","8","Thurs",-8.3,74,0,0
2015-01-01 09:00:00,"4","1","9","Thurs",-7.4,61,0,0
2015-01-01 10:00:00,"4","1","10","Thurs",-5.5,58,0,0
2015-01-01 11:00:00,"4","1","11","Thurs",-4.6,56,0,0
2015-01-01 12:00:00,"4","1","12","Thurs",-4.1,51,0,0
2015-01-01 13:00:00,"4","1","13","Thurs",-3.1,49,0,0
2015-01-01 14:00:00,"4","1","14","Thurs",-2.7,49,0,0
2015-01-01 15:00:00,"4","1","15","Thurs",-3.1,49,0,0
2015-01-01 16:00:00,"4","1","16","Thurs",-3.2,51,0,0
2015-01-01 17:00:00,"4","1","17","Thurs",-4.4,59,0,0
2015-01-01 18:00:00,"4","1","18","Thurs",-5.1,61,0,0
2015-01-01 19:00:00,"4","1","19","Thurs",-5.5,68,0,0
2015-01-01 20:00:00,"4","1","20","Thurs",-5.2,68,0,0
2015-01-01 21:00:00,"4","1","21","Thurs",-5.5,68,0,0
2015-01-01 22:00:00,"4","1","22","Thurs",-5.6,68,0,0
2015-01-01 23:00:00,"4","1","23","Thurs",-6.1,73,0,0
2015-01-02 00:00:00,"4","1","0","Fri",-6.2,75,0,0
2015-01-02 01:00:00,"4","1","1","Fri",-6.1,77,0,0
2015-01-02 02:00:00,"4","1","2","Fri",-6.2,81,0,0
2015-01-02 03:00:00,"4","1","3","Fri",-6.7,87,0,0
2015-01-02 04:00:00,"4","1","4","Fri",-6.5,86,0,0
2015-01-02 05:00:00,"4","1","5","Fri",-6.5,85,0,0
2015-01-02 06:00:00,"4","1","6","Fri",-6.4,84,0,0
2015-01-02 07:00:00,"4","1","7","Fri",-6.7,85,0,0
2015-01-02 08:00:00,"4","1","8","Fri",-7.3,88,0,0
2015-01-02 09:00:00,"4","1","9","Fri",-6.5,87,0,0
2015-01-02 10:00:00,"4","1","10","Fri",-5.3,84,0,0
2015-01-02 11:00:00,"4","1","11","Fri",-4.1,74,0,0
2015-01-02 12:00:00,"4","1","12","Fri",-3.7,63,0,0
2015-01-02 13:00:00,"4","1","13","Fri",-2.1,49,0,0
2015-01-02 14:00:00,"4","1","14","Fri",-0.6,39,0,0
2015-01-02 15:00:00,"4","1","15","Fri",-0.1,38,0,0
2015-01-02 16:00:00,"4","1","16","Fri",-0.1,36,0,0
2015-01-02 17:00:00,"4","1","17","Fri",-1.6,41,0,0
2015-01-02 18:00:00,"4","1","18","Fri",-2.9,46,0,0
2015-01-02 19:00:00,"4","1","19","Fri",-3.6,50,0,0
2015-01-02 20:00:00,"4","1","20","Fri",-4.3,54,0,0
2015-01-02 21:00:00,"4","1","21","Fri",-4.9,59,0,0
2015-01-02 22:00:00,"4","1","22","Fri",-5.5,65,0,0
2015-01-02 23:00:00,"4","1","23","Fri",-5.8,68,0,0
2015-01-03 00:00:00,"4","1","0","Sat",-6.4,72,0,0
2015-01-03 01:00:00,"4","1","1","Sat",-7.1,76,0,0
2015-01-03 02:00:00,"4","1","2","Sat",-7.6,79,0,0
2015-01-03 03:00:00,"4","1","3","Sat",-8.1,82,0,0
2015-01-03 04:00:00,"4","1","4","Sat",-8.5,84,0,0
2015-01-03 05:00:00,"4","1","5","Sat",-9.1,85,0,0
2015-01-03 06:00:00,"4","1","6","Sat",-9.3,88,0,0
2015-01-03 07:00:00,"4","1","7","Sat",-9.6,88,0,0
2015-01-03 08:00:00,"4","1","8","Sat",-9.8,89,0,0
