datetime,rentMonth,rentHour,rentWeekday,rentCount
2014-01-01 0:00,1,0,4,2
2014-01-01 1:00,1,1,4,0
2014-01-01 2:00,1,2,4,0
2014-01-01 3:00,1,3,4,0
2014-01-01 4:00,1,4,4,0
2014-01-01 5:00,1,5,4,0
2014-01-01 6:00,1,6,4,0
2014-01-01 7:00,1,7,4,2
2014-01-01 8:00,1,8,4,0
2014-01-01 9:00,1,9,4,0
2014-01-01 10:00,1,10,4,0
2014-01-01 11:00,1,11,4,2
2014-01-01 12:00,1,12,4,1
2014-01-01 13:00,1,13,4,5
2014-01-01 14:00,1,14,4,8
2014-01-01 15:00,1,15,4,0
2014-01-01 16:00,1,16,4,1
2014-01-01 17:00,1,17,4,0
2014-01-01 18:00,1,18,4,0
2014-01-01 19:00,1,19,4,0
2014-01-01 20:00,1,20,4,0
2014-01-01 21:00,1,21,4,0
2014-01-01 22:00,1,22,4,9
2014-01-01 23:00,1,23,4,0
2014-01-02 0:00,1,0,5,0
2014-01-02 1:00,1,1,5,0
2014-01-02 2:00,1,2,5,0
2014-01-02 3:00,1,3,5,0
2014-01-02 4:00,1,4,5,0
2014-01-02 5:00,1,5,5,0
2014-01-02 6:00,1,6,5,0
2014-01-02 7:00,1,7,5,0
2014-01-02 8:00,1,8,5,0
2014-01-02 9:00,1,9,5,0
2014-01-02 10:00,1,10,5,0
2014-01-02 11:00,1,11,5,0
2014-01-02 12:00,1,12,5,0
2014-01-02 13:00,1,13,5,3
2014-01-02 14:00,1,14,5,0
2014-01-02 15:00,1,15,5,0
2014-01-02 16:00,1,16,5,0
2014-01-02 17:00,1,17,5,12
2014-01-02 18:00,1,18,5,0
2014-01-02 19:00,1,19,5,0
2014-01-02 20:00,1,20,5,0
2014-01-02 21:00,1,21,5,0
2014-01-02 22:00,1,22,5,0
2014-01-02 23:00,1,23,5,5
2014-01-03 0:00,1,0,6,0
2014-01-03 1:00,1,1,6,0
2014-01-03 2:00,1,2,6,0
2014-01-03 3:00,1,3,6,0
2014-01-03 4:00,1,4,6,0
2014-01-03 5:00,1,5,6,0
2014-01-03 6:00,1,6,6,0
2014-01-03 7:00,1,7,6,0
2014-01-03 8:00,1,8,6,0
2014-01-03 9:00,1,9,6,0
2014-01-03 10:00,1,10,6,0
2014-01-03 11:00,1,11,6,0
2014-01-03 12:00,1,12,6,0
2014-01-03 13:00,1,13,6,0
2014-01-03 14:00,1,14,6,8
2014-01-03 15:00,1,15,6,6
2014-01-03 16:00,1,16,6,5
2014-01-03 17:00,1,17,6,6
2014-01-03 18:00,1,18,6,2
2014-01-03 19:00,1,19,6,6
2014-01-03 20:00,1,20,6,0
2014-01-03 21:00,1,21,6,2
2014-01-03 22:00,1,22,6,0
2014-01-03 23:00,1,23,6,0
2014-01-04 0:00,1,0,7,3
2014-01-04 1:00,1,1,7,0
2014-01-04 2:00,1,2,7,0
2014-01-04 3:00,1,3,7,0
2014-01-04 4:00,1,4,7,0
2014-01-04 5:00,1,5,7,0
2014-01-04 6:00,1,6,7,0
2014-01-04 7:00,1,7,7,3
2014-01-04 8:00,1,8,7,0
2014-01-04 9:00,1,9,7,3
2014-01-04 10:00,1,10,7,2
2014-01-04 11:00,1,11,7,0
2014-01-04 12:00,1,12,7,3
2014-01-04 13:00,1,13,7,8
2014-01-04 14:00,1,14,7,11
2014-01-04 15:00,1,15,7,22
2014-01-04 16:00,1,16,7,30
2014-01-04 17:00,1,17,7,11
2014-01-04 18:00,1,18,7,12
2014-01-04 19:00,1,19,7,5
2014-01-04 20:00,1,20,7,7
2014-01-04 21:00,1,21,7,4
2014-01-04 22:00,1,22,7,4
2014-01-04 23:00,1,23,7,0
2014-01-05 0:00,1,0,1,0
2014-01-05 1:00,1,1,1,0
2014-01-05 2:00,1,2,1,0
2014-01-05 3:00,1,3,1,0
2014-01-05 4:00,1,4,1,0
2014-01-05 5:00,1,5,1,0
2014-01-05 6:00,1,6,1,0
2014-01-05 7:00,1,7,1,0
2014-01-05 8:00,1,8,1,3
2014-01-05 9:00,1,9,1,0
2014-01-05 10:00,1,10,1,4
2014-01-05 11:00,1,11,1,5
2014-01-05 12:00,1,12,1,7
2014-01-05 13:00,1,13,1,6
2014-01-05 14:00,1,14,1,13
2014-01-05 15:00,1,15,1,14
2014-01-05 16:00,1,16,1,13
2014-01-05 17:00,1,17,1,9
2014-01-05 18:00,1,18,1,0
2014-01-05 19:00,1,19,1,0
2014-01-05 20:00,1,20,1,1
2014-01-05 21:00,1,21,1,4
2014-01-05 22:00,1,22,1,0
2014-01-05 23:00,1,23,1,0
2014-01-06 0:00,1,0,2,0
2014-01-06 1:00,1,1,2,0
2014-01-06 2:00,1,2,2,0
2014-01-06 3:00,1,3,2,0
2014-01-06 4:00,1,4,2,0
2014-01-06 5:00,1,5,2,0
2014-01-06 6:00,1,6,2,0
2014-01-06 7:00,1,7,2,0
2014-01-06 8:00,1,8,2,0
2014-01-06 9:00,1,9,2,0
2014-01-06 10:00,1,10,2,0
2014-01-06 11:00,1,11,2,0
2014-01-06 12:00,1,12,2,2
2014-01-06 13:00,1,13,2,1
2014-01-06 14:00,1,14,2,6
2014-01-06 15:00,1,15,2,2
2014-01-06 16:00,1,16,2,2
2014-01-06 17:00,1,17,2,4
2014-01-06 18:00,1,18,2,0
2014-01-06 19:00,1,19,2,1
2014-01-06 20:00,1,20,2,0
2014-01-06 21:00,1,21,2,0
2014-01-06 22:00,1,22,2,0
2014-01-06 23:00,1,23,2,0
2014-01-07 0:00,1,0,3,4
2014-01-07 1:00,1,1,3,0
2014-01-07 2:00,1,2,3,0
2014-01-07 3:00,1,3,3,0
2014-01-07 4:00,1,4,3,0
2014-01-07 5:00,1,5,3,0
2014-01-07 6:00,1,6,3,0
2014-01-07 7:00,1,7,3,3
2014-01-07 8:00,1,8,3,0
2014-01-07 9:00,1,9,3,0
2014-01-07 10:00,1,10,3,1
2014-01-07 11:00,1,11,3,0
2014-01-07 12:00,1,12,3,2
2014-01-07 13:00,1,13,3,2
2014-01-07 14:00,1,14,3,8
2014-01-07 15:00,1,15,3,2
2014-01-07 16:00,1,16,3,0
2014-01-07 17:00,1,17,3,2
2014-01-07 18:00,1,18,3,0
2014-01-07 19:00,1,19,3,1
2014-01-07 20:00,1,20,3,4
2014-01-07 21:00,1,21,3,4
2014-01-07 22:00,1,22,3,5
2014-01-07 23:00,1,23,3,4
2014-01-08 0:00,1,0,4,2
2014-01-08 1:00,1,1,4,0
2014-01-08 2:00,1,2,4,0
2014-01-08 3:00,1,3,4,0
2014-01-08 4:00,1,4,4,0
2014-01-08 5:00,1,5,4,0
2014-01-08 6:00,1,6,4,0
2014-01-08 7:00,1,7,4,0
2014-01-08 8:00,1,8,4,0
2014-01-08 9:00,1,9,4,5
2014-01-08 10:00,1,10,4,0
2014-01-08 11:00,1,11,4,1
2014-01-08 12:00,1,12,4,0
2014-01-08 13:00,1,13,4,1
2014-01-08 14:00,1,14,4,0
2014-01-08 15:00,1,15,4,1
2014-01-08 16:00,1,16,4,3
2014-01-08 17:00,1,17,4,3
2014-01-08 18:00,1,18,4,1
2014-01-08 19:00,1,19,4,0
2014-01-08 20:00,1,20,4,0
2014-01-08 21:00,1,21,4,2
2014-01-08 22:00,1,22,4,0
2014-01-08 23:00,1,23,4,2
2014-01-09 0:00,1,0,5,0
2014-01-09 1:00,1,1,5,0
2014-01-09 2:00,1,2,5,0
2014-01-09 3:00,1,3,5,0
2014-01-09 4:00,1,4,5,0
2014-01-09 5:00,1,5,5,0
2014-01-09 6:00,1,6,5,0
2014-01-09 7:00,1,7,5,0
2014-01-09 8:00,1,8,5,0
2014-01-09 9:00,1,9,5,0
2014-01-09 10:00,1,10,5,0
2014-01-09 11:00,1,11,5,0
2014-01-09 12:00,1,12,5,0
2014-01-09 13:00,1,13,5,0
2014-01-09 14:00,1,14,5,0
2014-01-09 15:00,1,15,5,2
2014-01-09 16:00,1,16,5,4
2014-01-09 17:00,1,17,5,0
